按弟 an'tui
费了 fei'le
张睛 zhang'jing
阿绞 a'jiao
转增 zhuan'zeng
洞中 dong'zhong
派庄 pai'zhuang
观楼 guan'lou
一年 yi'nian
乾元 qian'yuan
中杭 zhong'hang
贾邱 gu'qiu
扎尼 za'ni
棒张 bang'zhang
小坳 xiao'ao
洪旭 hong'xu
莲须 lian'xu
肾衰 shen'shuai
周坊 zhou'fang
白枪 bai'qiang
岩当 yan'dang
取信 qu'xin
毛特 mao'te
脾门 pi'men
白势 bai'shi
牛辽 niu'liao
乌王 wu'wang
全象 quan'xiang
怪笨 guai'ben
松园 song'yuan
项记 xiang'ji
李绪 li'xu
树庄 shu'zhuang
该家 gai'jia
音皇 yin'huang
热望 re'wang
控带 kong'dai
贫农 pin'nong
乃岭 nai'ling
躲到 duo'dao
不食 bu'shi
阿尾 e'wei
十字 shi'zi
后韩 hou'han
杨恢 yang'hui
登纳 deng'na
烧窑 shao'yao
陶坡 yao'po
荣获 rong'huo
中恶 zhong'e
紫萱 zi'xuan
鼓盾 gu'dun
支圈 zhi'juan
藏张 cang'zhang
苦力 ku'li
花科 hua'ke
落背 la'bei
衣主 yi'zhu
陈阐 chen'chan
王行 wang'xing
人祸 ren'huo
六山 liu'shan
虾怪 xia'guai
团东 tuan'dong
娘村 niang'cun
宾水 bin'shui
净长 jing'chang
陆区 liu'ou
吸入 xi'ru
宁友 ning'you
怀鹿 huai'lu
邪传 xu'chuan
筹量 chou'liang
猫肉 mao'rou
关就 guan'jiu
灵翠 ling'cui
宫女 gong'nv
银链 yin'lian
砂壳 sha'qiao
聋有 long'you
效陶 xiao'tao
双摄 shuang'she
再算 zai'suan
莺鹰 ying'ying
他冲 ta'chong
朵太 duo'tai
车谷 che'gu
王墙 wang'qiang
总检 zong'jian
爆满 bao'man
孙勃 xun'bei
血鳖 xue'bie
超慢 chao'man
源锦 yuan'jin
尿崩 niao'beng
大耿 dai'geng
黄猫 huang'mao
参普 can'pu
蓄积 xu'ji
那猫 ne'mao
水障 shui'zhang
一脚 yi'jiao
台象 tai'xiang
中冯 zhong'ping
日企 ri'qi
崩港 beng'gang
好安 hao'an
尉村 yu'cun
艾泽 yi'ze
昂吼 ang'hou
较小 jiao'xiao
宁麟 ning'lin
多本 duo'ben
日吹 ri'chui
岭湖 ling'hu
见度 xian'du
乾冰 gan'bing
契机 qi'ji
九湾 jiu'wan
傲头 ao'tou
塘圈 tang'juan
一起 yi'qi
化转 hua'zhuan
病弱 bing'ruo
处室 chu'shi
黑屯 hei'zhun
旁改 bang'gai
桓言 huan'yan
作勒 zuo'lei
明劲 ming'jin
谢秦 xie'qin
莫鸟 mo'niao
那晏 nei'yan
春兰 chun'lan
佟营 tong'ying
载乐 zai'le
默里 mo'li
新听 xin'ting
率谷 lv'gu
昌庐 chang'lu
更挂 geng'gua
李一 li'yi
香屯 xiang'tun
沾吧 zhan'ba
头带 tou'dai
符田 fu'tian
夸克 kua'ke
共话 gong'hua
再造 zai'zao
兰楼 lan'lou
太草 tai'cao
成氨 cheng'an
黄酒 huang'jiu
腊信 la'shen
打不 da'bu
屈完 qu'wan
欧布 ou'bu
雪巴 xue'ba
逛么 guang'ma
务达 wu'da
生条 sheng'tiao
路住 lu'zhu
刁别 diao'bie
米杉 mi'shan
塘岛 tang'dao
废才 fei'cai
希总 xi'zong
山合 shan'he
那导 nei'dao
老金 lao'jin
衡泰 heng'tai
打钱 da'qian
打结 da'jie
虾尔 xia'er
长幅 chang'fu
坛么 tan'mo
南师 nan'shi
么斯 me'si
强沟 jiang'gou
弘盛 hong'sheng
弄瞒 nong'men
鲁铎 lu'duo
乾汁 gan'zhi
