闲湖 xian'hu
炎魄 yan'po
市委 shi'wei
铺屋 pu'wu
徒坡 tu'po
虎摊 hu'tan
森达 sen'da
可伤 ke'shang
马维 ma'wei
汗溢 han'yi
翻正 fan'zheng
志坡 zhi'po
哦卡 e'qia
那面 na'mian
社境 she'jing
化清 hua'qing
重御 chong'yu
特奇 te'ji
白牛 bai'niu
文告 wen'gao
剧场 ju'chang
折房 she'fang
郑隐 zheng'yin
下咬 xia'yao
奥多 ao'duo
万尾 wan'yi
甲案 jia'an
归格 gui'ge
慧林 hui'lin
句芒 ju'wang
杨崖 yang'ya
列觉 lie'jue
女桑 ru'sang
听他 ting'ta
站说 zhan'yue
漠风 mo'feng
泗场 si'chang
岩壁 yan'bi
宛峰 wan'feng
醇盐 chun'yan
边肖 bian'xiao
赤竹 chi'zhu
邻居 lin'ju
四难 si'nan
关羽 guan'yu
轮缘 lun'yuan
莫岗 mu'gang
天琼 tian'qiong
伏吟 fu'yin
天博 tian'bo
弄玄 nong'xuan
小辛 xiao'xin
棋魂 qi'hun
一宫 yi'gong
收版 shou'ban
盲沟 mang'gou
张慕 zhang'mu
尹员 yin'yun
瓦一 wa'yi
一码 yi'ma
七家 qi'jia
下雷 xia'lei
王助 wang'chu
水市 shui'shi
雅轩 ya'xuan
伍伦 wu'lun
爹得 die'dei
县报 xian'bao
朱岗 shu'gang
武店 wu'dian
西岩 xi'yan
行也 hang'ye
针神 zhen'shen
头车 tou'ju
防台 fang'tai
汗臭 han'chou
胆巴 dan'ba
伯服 ba'fu
傻妹 sha'mei
那坝 nei'ba
果张 guo'zhang
曹滩 cao'tan
佛塘 bo'tang
木坞 mu'wu
匀顶 yun'ding
邻角 lin'jue
洪涝 hong'lao
轧后 ya'hou
垫还 dian'huan
等渗 deng'shen
泊松 po'song
不聊 bu'liao
给业 gei'ye
朱哨 zhu'shao
神九 shen'jiu
姐的 jie'di
库热 ku're
诺邦 nuo'bang
某呢 mou'ne
大劲 dai'jing
大宏 da'hong
明冠 ming'guan
登向 deng'xiang
焦块 jiao'kuai
晋县 jin'xian
只肯 zhi'ken
莱博 lai'bo
查浓 zha'nong
云词 yun'ci
丁桥 zheng'qiao
挂价 gua'jie
溢谷 yi'yu
胸径 xiong'jing
