雅鉴 ya'jian
喜她 xi'ta
给新 gei'xin
阿琴 a'qin
叠椅 die'yi
盖种 gai'chong
灰地 hui'di
宿庄 su'zhuang
曹让 cao'rang
卡吾 qia'wu
后琅 hou'lang
扇意 shan'yi
犁市 li'shi
黄稍 huang'shao
冲子 chong'zi
冲的 chong'di
亮爽 liang'shuang
大僚 da'liao
洪坊 hong'fang
碰巧 peng'qiao
肯可 ken'ke
别戴 bie'dai
志飞 zhi'fei
焰花 yan'hua
奥祥 yu'xiang
傲夫 ao'fu
拍门 pai'men
尔泰 er'tai
昌一 chang'yi
铁大 tie'tai
林之 lin'zhi
塘庄 tang'zhuang
店角 dian'jiao
兴特 xing'te
真字 zhen'zi
特么 te'me
笑桃 xiao'tao
坡翁 po'weng
球冠 qiu'guan
苑丁 yuan'ding
故思 gu'si
飞科 fei'ke
要给 yao'gei
胶针 jiao'zhen
曼破 man'po
黄充 huang'chong
光的 guang'de
和包 he'bao
场坊 chang'fang
佛战 fo'zhan
冯雷 feng'lei
斐乐 fei'yue
铜锤 tong'chui
长渊 chang'yuan
错光 cuo'guang
班比 ban'bi
古灶 gu'zao
统治 tong'zhi
昼景 zhou'jing
鸽尾 ge'wei
卜案 bo'wan
湿模 shi'mu
孔劳 kong'lao
妥明 tuo'ming
垂山 chui'shan
供菊 gong'ju
幽影 you'ying
水堡 shui'bao
年度 nian'du
四希 si'xi
那尊 nei'zun
吾去 wu'qu
贾官 jia'guan
朋地 peng'di
茶西 cha'xi
容曲 rong'qu
快佛 kuai'fo
易小 yi'xiao
舌横 she'heng
余首 yu'shou
大劣 tai'lie
龙血 long'xue
镇前 zhen'qian
杜菲 du'fei
茅峪 mao'yu
佛刹 bo'cha
安乘 an'sheng
日御 ri'yu
乐式 yue'shi
戏会 xi'kuai
网赚 wang'zhuan
收阴 shou'yin
葛布 ge'bu
支恩 zhi'en
女们 nv'men
快房 kuai'fang
木抱 mu'bao
中恒 zhong'heng
沈腾 shen'teng
吴任 wu'ren
西建 xi'jian
伟领 wei'ling
三丛 san'cong
弄吓 long'he
前发 qian'fa
塔角 ta'jiao
紫萝 zi'luo
皮哄 pi'hong
蛮家 man'jia
落纳 luo'na
全当 quan'dang
毛维 mao'wei
杨絮 yang'xu
纸呢 zhi'ni
郎湖 lang'hu
于丁 yu'zheng
学布 xue'bu
卡咪 ka'mi
实着 shi'zhao
到她 dao'ta
渔缘 yu'yuan
毒粉 dai'fen
巫包 wu'bao
周工 zhou'gong
之不 zhi'bu
王一 wang'yi
双肩 shuang'jian
吾使 yu'shi
粟树 su'shu
么社 me'she
福岭 fu'ling
立瓦 li'wa
景泰 jing'tai
油棉 you'mian
夹街 ga'jie
短牌 duan'pai
免爆 mian'bao
漂风 piao'feng
真些 zhen'xie
堡堡 bu'pu
恰卡 qia'ka
拖配 tuo'pei
松中 song'zhong
